name,url,test_types,remote_testing,adaptive
Managerial Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,B,No,No
Managerial Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/,B,No,No
Manual Testing (New),https://www.shl.com/products/product-catalog/view/manual-testing-new/,K,No,No
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,AP,No,No
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/,P,No,No
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,P,No,No
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/products/product-catalog/view/mechanical-focus-8-0/,AP,No,No
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/,AP,No,No
Marketing (New),https://www.shl.com/products/product-catalog/view/marketing-new/,K,No,No
Maven (New),https://www.shl.com/products/product-catalog/view/maven-new/,K,No,No
Mechanical Engineering (New),https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/,K,No,No
Mechatronics Engineering (New),https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/,K,No,No
Medical Terminology (New),https://www.shl.com/products/product-catalog/view/medical-terminology-new/,K,No,No
Metallurgical Engineering (New),https://www.shl.com/products/product-catalog/view/metallurgical-engineering-new/,K,No,No
MFS 360 Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/,D,No,No
MFS 360 UCF Group Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/,D,No,No
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,D,No,No
MFS 360 UCF Standard Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/,D,No,No
Micro Focus Unified Functional Testing (New),https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/,K,No,No
Microservices (New),https://www.shl.com/products/product-catalog/view/microservices-new/,K,No,No
Microsoft Dynamics Development (New),https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/,K,No,No
Microsoft Excel 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/,KS,No,No
Microsoft Excel 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,KS,No,No
Microsoft Outlook 2013 (adaptive),https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,K,No,No
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,KS,No,No
Microsoft SQL Server 2014 Programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,K,No,No
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,K,No,No
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,KS,No,No
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,SK,No,No
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,K,No,No
Mining Engineering (New),https://www.shl.com/products/product-catalog/view/mining-engineering-new/,K,No,No
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,K,No,No
Molecular Biology (New),https://www.shl.com/products/product-catalog/view/molecular-biology-new/,K,No,No
MongoDB (New),https://www.shl.com/products/product-catalog/view/mongodb-new/,K,No,No
Motivation Questionnaire MQM5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,P,No,No
MQ Candidate Motivation Report,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,P,No,No
MQ Employee Motivation Report,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,P,No,No
MQ Motivation Report Pack,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,P,No,No
MQ Profile,https://www.shl.com/products/product-catalog/view/mq-profile/,P,No,No
MS Access (New),https://www.shl.com/products/product-catalog/view/ms-access-new/,K,No,No
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new/,K,No,No
MS Office Basic Computer Literacy (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,K,No,No
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,S,No,No
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,K,No,No
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new/,K,No,No
MuleSoft Development (New),https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,K,No,No
Multitasking Ability,https://www.shl.com/products/product-catalog/view/multitasking-ability/,AKS,No,No
Networking and Implementation (New),https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/,K,No,No
Node.js (New),https://www.shl.com/products/product-catalog/view/node-js-new/,K,No,No
Nursing (New),https://www.shl.com/products/product-catalog/view/nursing-new/,K,No,No
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,P,No,No
Operations Management (New),https://www.shl.com/products/product-catalog/view/operations-management-new/,K,No,No
OPQ Candidate Plus Report,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/,P,No,No
OPQ Candidate Report 2.0,https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0/,P,No,No
OPQ Emotional Intelligence Report,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/,P,No,No
OPQ Leadership Report,https://www.shl.com/products/product-catalog/view/opq-leadership-report/,P,No,No
OPQ Manager Plus Report,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report/,P,No,No
OPQ Manager Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/,P,No,No
OPQ Maximising your Learning Report,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/,P,No,No
OPQ MQ Sales Report,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,P,No,No
OPQ Premium Plus Report,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/,P,No,No
OPQ Premium Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0/,P,No,No
OPQ Profile Report,https://www.shl.com/products/product-catalog/view/opq-profile-report/,P,No,No
OPQ Team Impact Group Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report/,P,No,No
OPQ Team Impact Individual Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report/,P,No,No
OPQ Team Impact Selection Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/,P,No,No
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,P,No,No
OPQ Team Types and Leadership Styles Report,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,P,No,No
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/,P,No,No
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,P,No,No
OPQ Universal Competency Report 1.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report/,P,No,No
OPQ Universal Competency Report 2.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report-2-0/,P,No,No
OPQ User and Managers Report,https://www.shl.com/products/product-catalog/view/opq-user-and-managers-report/,P,No,No
OPQ User Report,https://www.shl.com/products/product-catalog/view/opq-user-report/,PS,No,No
Oracle DBA (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new/,K,No,No
Oracle DBA (Entry Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-entry-level-new/,K,No,No
Oracle PL/SQL (New),https://www.shl.com/products/product-catalog/view/oracle-plsql-new/,K,No,No
Oracle WebLogic Server (New),https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new/,K,No,No
Organic Chemistry (New),https://www.shl.com/products/product-catalog/view/organic-chemistry-new/,K,No,No
Paint Technology (New),https://www.shl.com/products/product-catalog/view/paint-technology-new/,K,No,No
Pediatrics (New),https://www.shl.com/products/product-catalog/view/pediatrics-new/,K,No,No
Pega Development (New),https://www.shl.com/products/product-catalog/view/pega-development-new/,K,No,No
Perl (New),https://www.shl.com/products/product-catalog/view/perl-new/,K,No,No
